date,value,year,period
2010-01-01,1.6,2010,Q01
2010-02-01,1.9,2010,Q02
2010-03-01,2.0,2010,Q03
2010-04-01,2.1,2010,Q04
2011-01-01,2.0,2011,Q01
2011-02-01,2.3,2011,Q02
2011-03-01,2.1,2011,Q03
2011-04-01,2.2,2011,Q04
2012-01-01,2.1,2012,Q01
2012-02-01,1.8,2012,Q02
2012-03-01,1.9,2012,Q03
2012-04-01,1.8,2012,Q04
2013-01-01,1.9,2013,Q01
2013-02-01,1.9,2013,Q02
2013-03-01,1.9,2013,Q03
2013-04-01,2.0,2013,Q04
2014-01-01,1.7,2014,Q01
2014-02-01,2.0,2014,Q02
2014-03-01,2.3,2014,Q03
2014-04-01,2.3,2014,Q04
2015-01-01,2.8,2015,Q01
2015-02-01,1.9,2015,Q02
2015-03-01,1.9,2015,Q03
2015-04-01,1.9,2015,Q04
2016-01-01,1.8,2016,Q01
2016-02-01,2.4,2016,Q02
2016-03-01,2.3,2016,Q03
2016-04-01,2.2,2016,Q04
2017-01-01,2.3,2017,Q01
2017-02-01,2.4,2017,Q02
2017-03-01,2.5,2017,Q03
2017-04-01,2.6,2017,Q04
2018-01-01,2.8,2018,Q01
2018-02-01,2.9,2018,Q02
2018-03-01,2.9,2018,Q03
2018-04-01,3.0,2018,Q04
2019-01-01,2.8,2019,Q01
2019-02-01,2.6,2019,Q02
2019-03-01,2.7,2019,Q03
2019-04-01,2.7,2019,Q04
2020-01-01,2.8,2020,Q01
2020-02-01,2.7,2020,Q02
2020-03-01,2.4,2020,Q03
2020-04-01,2.6,2020,Q04
2021-01-01,2.8,2021,Q01
2021-02-01,3.1,2021,Q02
2021-03-01,4.1,2021,Q03
2021-04-01,4.4,2021,Q04
2022-01-01,4.8,2022,Q01
2022-02-01,5.5,2022,Q02
2022-03-01,5.2,2022,Q03
2022-04-01,5.1,2022,Q04
2023-01-01,4.8,2023,Q01
2023-02-01,4.5,2023,Q02
2023-03-01,4.3,2023,Q03
2023-04-01,4.1,2023,Q04
2024-01-01,4.1,2024,Q01
2024-02-01,3.9,2024,Q02
